imageIndex,detectorType,descriptorType,totalTime,TTC,
5,SHITOMASI,BRIEF,19.8168,14.444,
6,SHITOMASI,BRIEF,19.9723,49.4328,
7,SHITOMASI,BRIEF,20.0242,13.312,
8,SHITOMASI,BRIEF,20.0305,11.6934,
9,SHITOMASI,BRIEF,20.2812,12.7448,
10,SHITOMASI,BRIEF,20.0567,13.8117,
11,SHITOMASI,BRIEF,20.2711,11.984,
12,SHITOMASI,BRIEF,20.1115,12.1911,
13,SHITOMASI,BRIEF,20.1226,11.7073,
14,SHITOMASI,BRIEF,20.0819,11.4001,
15,SHITOMASI,BRIEF,20.4459,11.9591,
16,SHITOMASI,BRIEF,20.3146,12.2688,
17,SHITOMASI,BRIEF,20.4018,7.21001,
18,SHITOMASI,BRIEF,20.6497,7.36702,
1,SHITOMASI,ORB,17.5767,16.613,
2,SHITOMASI,ORB,17.8085,11.6536,
3,SHITOMASI,ORB,18.8767,13.0804,
4,SHITOMASI,ORB,17.7556,12.1102,
5,SHITOMASI,ORB,17.8358,12.2747,
6,SHITOMASI,ORB,17.6859,12.2689,
7,SHITOMASI,ORB,17.7357,15.0066,
8,SHITOMASI,ORB,17.6769,13.8526,
9,SHITOMASI,ORB,17.8472,10.0129,
10,SHITOMASI,ORB,17.756,12.7784,
11,SHITOMASI,ORB,17.8423,7.90146,
12,SHITOMASI,ORB,18.9819,11.7855,
13,SHITOMASI,ORB,17.8325,11.6839,
14,SHITOMASI,ORB,18.0028,11.5744,
15,SHITOMASI,ORB,17.8828,8.88947,
16,SHITOMASI,ORB,17.7176,10.7263,
17,SHITOMASI,ORB,17.9286,8.49309,
18,SHITOMASI,ORB,18.255,8.11474,
1,SHITOMASI,FREAK,66.5178,16.613,
2,SHITOMASI,FREAK,67.1961,13.0114,
3,SHITOMASI,FREAK,67.1957,9.60999,
4,SHITOMASI,FREAK,66.9982,9.31344,
5,SHITOMASI,FREAK,66.5467,12.8285,
6,SHITOMASI,FREAK,67.2471,12.1606,
7,SHITOMASI,FREAK,67.5235,11.6524,
8,SHITOMASI,FREAK,67.1447,10.5485,
9,SHITOMASI,FREAK,67.2757,12.0075,
10,SHITOMASI,FREAK,67.0122,10.8097,
11,SHITOMASI,FREAK,67.1788,10.514,
12,SHITOMASI,FREAK,68.3056,10.3912,
13,SHITOMASI,FREAK,67.5878,10.2037,
14,SHITOMASI,FREAK,67.3378,11.0009,
15,SHITOMASI,FREAK,67.607,8.99451,
16,SHITOMASI,FREAK,67.278,11.4314,
17,SHITOMASI,FREAK,67.4744,10.5924,
18,SHITOMASI,FREAK,68.3502,8.33444,
1,SHITOMASI,SIFT,48.4835,13.6546,
2,SHITOMASI,SIFT,49.0312,12.0299,
3,SHITOMASI,SIFT,54.574,10.6377,
4,SHITOMASI,SIFT,49.2633,12.8595,
5,SHITOMASI,SIFT,49.17,12.3379,
6,SHITOMASI,SIFT,49.7549,12.6562,
7,SHITOMASI,SIFT,49.7486,13.8277,
8,SHITOMASI,SIFT,49.7347,12.7202,
9,SHITOMASI,SIFT,50.4138,12.0881,
10,SHITOMASI,SIFT,49.8564,14.1775,
11,SHITOMASI,SIFT,51.4447,12.0261,
12,SHITOMASI,SIFT,50.4158,11.5836,
13,SHITOMASI,SIFT,61.6954,11.9459,
14,SHITOMASI,SIFT,51.9947,11.5312,
15,SHITOMASI,SIFT,51.2878,10.5912,
16,SHITOMASI,SIFT,51.3789,10.5507,
17,SHITOMASI,SIFT,50.9369,10.7205,
18,SHITOMASI,SIFT,52.0989,8.70302,
1,HARRIS,BRISK,18.8103,1.11808e-20,
2,HARRIS,BRISK,15.6767,7.23088e-22,
3,HARRIS,BRISK,17.1907,2.1788e-20,
4,HARRIS,BRISK,19.8462,nan,
5,HARRIS,BRISK,19.4542,-12.2718,
6,HARRIS,BRISK,20.4067,nan,
7,HARRIS,BRISK,21.0357,-2.08809,
8,HARRIS,BRISK,17.7392,nan,
9,HARRIS,BRISK,15.8936,nan,
10,HARRIS,BRISK,20.2513,nan,
11,HARRIS,BRISK,16.4417,nan,
12,HARRIS,BRISK,17.4191,nan,
13,HARRIS,BRISK,17.5478,-0.20007,
14,HARRIS,BRISK,16.4027,2.67418e-21,
15,HARRIS,BRISK,20.1857,-13.45,
16,HARRIS,BRISK,18.9351,5.9642,
17,HARRIS,BRISK,16.8938,nan,
18,HARRIS,BRISK,16.5991,nan,
1,HARRIS,BRIEF,16.8394,8.75397,
2,HARRIS,BRIEF,14.6801,nan,
3,HARRIS,BRIEF,15.8703,-11.4731,
4,HARRIS,BRIEF,17.7751,11.3951,
5,HARRIS,BRIEF,17.5592,34.7543,
6,HARRIS,BRIEF,19.4296,11.3758,
7,HARRIS,BRIEF,20.1198,10.7009,
8,HARRIS,BRIEF,16.0996,13.2352,
9,HARRIS,BRIEF,14.6434,-0.205259,
10,HARRIS,BRIEF,18.1656,10.2931,
11,HARRIS,BRIEF,15.1647,-0.2,
12,HARRIS,BRIEF,16.6047,5.05076,
13,HARRIS,BRIEF,15.9122,11.972,
14,HARRIS,BRIEF,15.0615,nan,
15,HARRIS,BRIEF,20.2119,-0.198279,
16,HARRIS,BRIEF,19.0467,8.7674,
17,HARRIS,BRIEF,16.7251,12.5848,
18,HARRIS,BRIEF,17.3513,3.98535,
1,HARRIS,ORB,19.5307,8.81335,
2,HARRIS,ORB,16.9947,nan,
3,HARRIS,ORB,18.0856,26.2905,
4,HARRIS,ORB,20.0355,10.9782,
5,HARRIS,ORB,19.7573,35.691,
6,HARRIS,ORB,18.6496,12.9945,
7,HARRIS,ORB,19.0684,17.7488,
8,HARRIS,ORB,16.6119,12.9162,
9,HARRIS,ORB,15.5407,-0.207825,
10,HARRIS,ORB,18.3155,-inf,
11,HARRIS,ORB,18.1066,0.110661,
12,HARRIS,ORB,15.9692,11.1055,
13,HARRIS,ORB,16.2667,20.7771,
14,HARRIS,ORB,16.0554,nan,
15,HARRIS,ORB,18.427,-25.2781,
16,HARRIS,ORB,17.2267,6.33028,
17,HARRIS,ORB,15.2284,1.63665,
18,HARRIS,ORB,15.5772,3.42677,
1,HARRIS,FREAK,60.4537,10.9082,
2,HARRIS,FREAK,56.6617,4.58394e-20,
3,HARRIS,FREAK,57.7787,nan,
4,HARRIS,FREAK,60.2021,12.4884,
5,HARRIS,FREAK,59.949,9.58956,
6,HARRIS,FREAK,60.7309,-0.201551,
7,HARRIS,FREAK,61.4641,12.3971,
8,HARRIS,FREAK,58.2039,8.57559,
9,HARRIS,FREAK,56.8726,nan,
10,HARRIS,FREAK,60.3033,10.2931,
11,HARRIS,FREAK,57.2513,11.2142,
12,HARRIS,FREAK,57.861,11.6948,
13,HARRIS,FREAK,58.9255,13.4095,
14,HARRIS,FREAK,61.5733,nan,
15,HARRIS,FREAK,66.0608,-12.639,
16,HARRIS,FREAK,59.4913,6.95593,
17,HARRIS,FREAK,57.2687,12.7384,
18,HARRIS,FREAK,57.2791,nan,
1,HARRIS,SIFT,34.041,8.81335,
2,HARRIS,SIFT,28.6377,nan,
3,HARRIS,SIFT,31.3539,-inf,
4,HARRIS,SIFT,35.5098,11.3951,
5,HARRIS,SIFT,34.8147,13.6432,
6,HARRIS,SIFT,36.0658,15.8156,
7,HARRIS,SIFT,38.0569,13.497,
8,HARRIS,SIFT,32.7326,11.2543,
9,HARRIS,SIFT,29.8534,3.90277,
10,HARRIS,SIFT,36.2204,-inf,
11,HARRIS,SIFT,30.5295,-0.214749,
12,HARRIS,SIFT,31.7006,11.1055,
13,HARRIS,SIFT,31.4438,284.161,
14,HARRIS,SIFT,30.3017,5.66097,
15,HARRIS,SIFT,35.4251,-29.5616,
16,HARRIS,SIFT,33.7177,6.71705,
17,HARRIS,SIFT,28.9784,nan,
18,HARRIS,SIFT,30.4223,-inf,
1,FAST,BRISK,28.0341,12.3317,
2,FAST,BRISK,27.2418,11.1135,
3,FAST,BRISK,27.2312,23.6517,
4,FAST,BRISK,31.772,12.7877,
5,FAST,BRISK,27.714,-inf,
6,FAST,BRISK,27.6741,13.8326,
7,FAST,BRISK,27.434,29.848,
8,FAST,BRISK,27.5356,11.2625,
9,FAST,BRISK,27.1391,15.113,
10,FAST,BRISK,27.9794,19.3817,
11,FAST,BRISK,28.052,13.2068,
12,FAST,BRISK,27.4531,11.2142,
13,FAST,BRISK,27.4355,13.4001,
14,FAST,BRISK,27.7467,7.91497,
15,FAST,BRISK,28.944,11.7777,
16,FAST,BRISK,28.9693,13.969,
17,FAST,BRISK,28.9765,8.61114,
18,FAST,BRISK,29.5562,12.2282,
1,FAST,BRIEF,9.89349,21.4516,
2,FAST,BRIEF,9.7383,26.5491,
3,FAST,BRIEF,9.75275,13.017,
4,FAST,BRIEF,9.77113,11.7243,
5,FAST,BRIEF,9.72096,16.9816,
6,FAST,BRIEF,9.7936,14.1576,
7,FAST,BRIEF,9.66197,13.4674,
8,FAST,BRIEF,9.80061,9.26275,
9,FAST,BRIEF,9.7299,10.5993,
10,FAST,BRIEF,9.94875,12.2564,
11,FAST,BRIEF,11.6003,12.2753,
12,FAST,BRIEF,9.73202,8.29496,
13,FAST,BRIEF,9.71561,10.7623,
14,FAST,BRIEF,9.69567,11.2389,
15,FAST,BRIEF,10.0859,11.8879,
16,FAST,BRIEF,10.1114,11.2159,
17,FAST,BRIEF,10.1553,7.9844,
18,FAST,BRIEF,10.2503,10.0076,
1,FAST,ORB,7.20977,11.2368,
2,FAST,ORB,7.12726,11.7977,
3,FAST,ORB,7.10464,11.3348,
4,FAST,ORB,7.12103,13.8308,
5,FAST,ORB,7.18943,34.7028,
6,FAST,ORB,7.1097,13.571,
7,FAST,ORB,7.01554,10.0735,
8,FAST,ORB,7.08329,11.5331,
9,FAST,ORB,7.01351,11.5935,
10,FAST,ORB,7.18193,13.0345,
11,FAST,ORB,7.73999,11.5932,
12,FAST,ORB,7.11006,13.4694,
13,FAST,ORB,7.16531,11.7931,
14,FAST,ORB,7.1226,11.1502,
15,FAST,ORB,7.40795,10.087,
16,FAST,ORB,8.01939,11.605,
17,FAST,ORB,7.45296,8.17334,
18,FAST,ORB,7.61545,10.025,
1,FAST,FREAK,68.8858,11.3083,
2,FAST,FREAK,64.7978,21.9313,
3,FAST,FREAK,65.0905,11.3018,
4,FAST,FREAK,62.1423,12.6702,
5,FAST,FREAK,61.346,14.5313,
6,FAST,FREAK,61.2619,12.0479,
7,FAST,FREAK,60.8087,13.8572,
8,FAST,FREAK,79.4868,11.0467,
9,FAST,FREAK,61.303,11.267,
10,FAST,FREAK,66.0762,13.7221,
11,FAST,FREAK,61.5995,12.0155,
12,FAST,FREAK,61.6355,10.7558,
13,FAST,FREAK,61.0926,10.9688,
14,FAST,FREAK,61.321,11.4732,
15,FAST,FREAK,62.5345,10.9363,
16,FAST,FREAK,61.7162,11.0728,
17,FAST,FREAK,64.4604,7.1876,
18,FAST,FREAK,62.9643,11.2823,
1,FAST,SIFT,103.454,11.5368,
2,FAST,SIFT,102.22,11.0789,
3,FAST,SIFT,106.866,18.4937,
4,FAST,SIFT,116.492,13.0949,
5,FAST,SIFT,131.776,19.0021,
6,FAST,SIFT,108.375,12.5964,
7,FAST,SIFT,101.704,13.0192,
8,FAST,SIFT,102.852,12.9189,
9,FAST,SIFT,99.9767,12.098,
10,FAST,SIFT,104.694,13.0459,
11,FAST,SIFT,104.705,11.6725,
12,FAST,SIFT,100.66,11.4368,
13,FAST,SIFT,101.126,12.0462,
14,FAST,SIFT,105.176,11.2114,
15,FAST,SIFT,105.229,10.796,
16,FAST,SIFT,107.61,11.3918,
17,FAST,SIFT,107.296,8.81701,
18,FAST,SIFT,107.379,11.3009,
1,BRISK,BRISK,359.331,12.9845,
2,BRISK,BRISK,358.996,9.00198,
3,BRISK,BRISK,359.136,6.03341,
4,BRISK,BRISK,357.066,15.5311,
5,BRISK,BRISK,358.628,27.6679,
6,BRISK,BRISK,357.849,21.7504,
7,BRISK,BRISK,358.168,18.6127,
8,BRISK,BRISK,361.633,39.1494,
9,BRISK,BRISK,361.233,13.7918,
10,BRISK,BRISK,362.885,17.8582,
11,BRISK,BRISK,360.872,10.5506,
12,BRISK,BRISK,358.828,8.12123,
13,BRISK,BRISK,361.107,11.7336,
14,BRISK,BRISK,390.743,10.4924,
15,BRISK,BRISK,365.127,11.4893,
16,BRISK,BRISK,364.657,10.089,
17,BRISK,BRISK,365.275,7.9708,
18,BRISK,BRISK,367.544,8.56683,
1,BRISK,BRIEF,334.311,11.0392,
2,BRISK,BRIEF,334.137,27.9497,
3,BRISK,BRIEF,333.988,12.3036,
4,BRISK,BRIEF,332.71,41.1701,
5,BRISK,BRIEF,333.856,14.5688,
6,BRISK,BRIEF,336.702,16.0965,
7,BRISK,BRIEF,334.721,21.8531,
8,BRISK,BRIEF,333.772,17.2348,
9,BRISK,BRIEF,335.103,14.3305,
10,BRISK,BRIEF,336.191,8.51774,
11,BRISK,BRIEF,340.761,11.8666,
12,BRISK,BRIEF,348.9,11.2061,
13,BRISK,BRIEF,336.283,11.4541,
14,BRISK,BRIEF,336.524,10.7525,
15,BRISK,BRIEF,347.654,11.7011,
16,BRISK,BRIEF,339.382,10.0045,
17,BRISK,BRIEF,354.724,7.51275,
18,BRISK,BRIEF,338.858,10.0362,
1,BRISK,ORB,356.316,12.8389,
2,BRISK,ORB,354.057,8.06167,
3,BRISK,ORB,354.435,14.6503,
4,BRISK,ORB,353.447,16.7795,
5,BRISK,ORB,355.248,12.7744,
6,BRISK,ORB,354.308,13.4052,
7,BRISK,ORB,355.621,18.1374,
8,BRISK,ORB,359.575,15.0146,
9,BRISK,ORB,357.947,13.1265,
10,BRISK,ORB,356.842,12.8779,
11,BRISK,ORB,360.405,12.6549,
12,BRISK,ORB,358.447,10.26,
13,BRISK,ORB,357.692,10.6405,
14,BRISK,ORB,358.866,9.77503,
15,BRISK,ORB,358.368,10.1076,
16,BRISK,ORB,359.722,9.95596,
17,BRISK,ORB,360.348,7.50683,
18,BRISK,ORB,360.162,8.27809,
1,BRISK,FREAK,418.792,10.9016,
2,BRISK,FREAK,407.536,21.3687,
3,BRISK,FREAK,407.136,14.666,
4,BRISK,FREAK,406.325,12.4569,
5,BRISK,FREAK,406.597,18.8802,
6,BRISK,FREAK,406.685,13.3881,
7,BRISK,FREAK,407.112,14.2554,
8,BRISK,FREAK,408.114,15.6538,
9,BRISK,FREAK,412.238,15.0981,
10,BRISK,FREAK,410.834,11.1018,
11,BRISK,FREAK,410.911,12.8434,
12,BRISK,FREAK,408.813,12.1298,
13,BRISK,FREAK,409.015,10.7408,
14,BRISK,FREAK,409.168,8.79185,
15,BRISK,FREAK,411.148,12.2176,
16,BRISK,FREAK,412.771,8.72673,
17,BRISK,FREAK,413.663,7.1688,
18,BRISK,FREAK,413.349,9.85558,
1,BRISK,SIFT,632.344,13.1647,
2,BRISK,SIFT,619.39,12.687,
3,BRISK,SIFT,618.44,15.6888,
4,BRISK,SIFT,611.084,12.6252,
5,BRISK,SIFT,615.579,25.3002,
6,BRISK,SIFT,611.731,15.5822,
7,BRISK,SIFT,610.972,12.9466,
8,BRISK,SIFT,607.248,17.4416,
9,BRISK,SIFT,613.933,15.191,
10,BRISK,SIFT,620.149,13.15,
11,BRISK,SIFT,623.658,10.7049,
12,BRISK,SIFT,617.913,13.1208,
13,BRISK,SIFT,619.493,12.725,
14,BRISK,SIFT,615.35,9.71393,
15,BRISK,SIFT,623.358,13.8813,
16,BRISK,SIFT,633.643,10.4203,
17,BRISK,SIFT,632.799,9.62677,
18,BRISK,SIFT,636.344,11.6871,
1,ORB,BRISK,20.009,12.2478,
2,ORB,BRISK,20.2654,72.7537,
3,ORB,BRISK,20.1674,42.8391,
4,ORB,BRISK,20.2291,21.5886,
5,ORB,BRISK,20.371,81.5151,
6,ORB,BRISK,20.7837,10.1835,
7,ORB,BRISK,20.9576,7.92034,
8,ORB,BRISK,20.9357,-inf,
9,ORB,BRISK,22.1806,7.71121,
10,ORB,BRISK,21.0532,9.26388,
11,ORB,BRISK,20.5823,8.35434,
12,ORB,BRISK,20.3699,61.6215,
13,ORB,BRISK,20.6218,7.87261,
14,ORB,BRISK,20.5506,7.55641,
15,ORB,BRISK,20.8248,11.1063,
16,ORB,BRISK,20.8648,9.72722,
17,ORB,BRISK,21.1693,10.56,
18,ORB,BRISK,21.2485,10.7852,
1,ORB,BRIEF,14.059,27.7301,
2,ORB,BRIEF,13.9099,20.7841,
3,ORB,BRIEF,13.9394,17.3871,
4,ORB,BRIEF,13.9409,38.8985,
5,ORB,BRIEF,13.9873,17.9187,
6,ORB,BRIEF,14.095,20.9953,
7,ORB,BRIEF,14.2924,22.0282,
8,ORB,BRIEF,14.2049,15.4369,
9,ORB,BRIEF,14.3135,10.3225,
10,ORB,BRIEF,14.3151,17.0396,
11,ORB,BRIEF,14.3056,8.86012,
12,ORB,BRIEF,14.1854,8.72512,
13,ORB,BRIEF,14.1811,10.182,
14,ORB,BRIEF,14.1225,16.1456,
15,ORB,BRIEF,14.163,9.4514,
16,ORB,BRIEF,14.0804,7.48952,
17,ORB,BRIEF,14.1683,15.0348,
18,ORB,BRIEF,14.2376,9.56223,
1,ORB,ORB,16.7,10.4051,
2,ORB,ORB,16.9609,11.0565,
3,ORB,ORB,16.8577,13.3212,
4,ORB,ORB,16.903,20.7947,
5,ORB,ORB,16.8785,22.0251,
6,ORB,ORB,17.0905,12.6176,
7,ORB,ORB,17.0188,10.8921,
8,ORB,ORB,16.9956,15.0791,
9,ORB,ORB,17.1597,9.29057,
10,ORB,ORB,17.0784,8.32957,
11,ORB,ORB,17.8887,10.8864,
12,ORB,ORB,17.4455,12.5564,
13,ORB,ORB,17.0278,10.4799,
14,ORB,ORB,17.2731,9.47688,
15,ORB,ORB,18.4864,9.36012,
16,ORB,ORB,17.1362,7.31819,
17,ORB,ORB,18.6166,14.9516,
18,ORB,ORB,17.0353,9.69811,
1,ORB,FREAK,56.678,10.7181,
2,ORB,FREAK,56.9091,-inf,
3,ORB,FREAK,56.9528,11.0085,
4,ORB,FREAK,57.0235,12.863,
5,ORB,FREAK,56.6402,-446.247,
6,ORB,FREAK,57.4481,10.6765,
7,ORB,FREAK,59.8661,14.7535,
8,ORB,FREAK,57.0106,15.2675,
9,ORB,FREAK,57.4314,12.1922,
10,ORB,FREAK,57.3619,-inf,
11,ORB,FREAK,58.7704,7.01479,
12,ORB,FREAK,57.1581,23.0965,
13,ORB,FREAK,57.0161,7.0524,
14,ORB,FREAK,57.7403,16.7192,
15,ORB,FREAK,57.4422,8.70579,
16,ORB,FREAK,57.7092,4.53376,
17,ORB,FREAK,57.3368,9.22716,
18,ORB,FREAK,58.7725,-inf,
1,ORB,SIFT,259.802,10.1598,
2,ORB,SIFT,258.528,28.2962,
3,ORB,SIFT,259.363,12.175,
4,ORB,SIFT,259.874,38.6047,
5,ORB,SIFT,264.197,19.96,
6,ORB,SIFT,262.87,10.7415,
7,ORB,SIFT,262.753,12.7499,
8,ORB,SIFT,262.192,20.1669,
9,ORB,SIFT,262.916,9.97202,
10,ORB,SIFT,262.453,12.9275,
11,ORB,SIFT,263.587,11.3337,
12,ORB,SIFT,266.083,10.4099,
13,ORB,SIFT,325.37,10.2004,
14,ORB,SIFT,306.859,9.82645,
15,ORB,SIFT,297.693,12.7987,
16,ORB,SIFT,287.611,9.35068,
17,ORB,SIFT,280.035,13.6403,
18,ORB,SIFT,262.087,11.2901,
1,SIFT,BRISK,125.3,12.0925,
2,SIFT,BRISK,124.328,9.63198,
3,SIFT,BRISK,125.031,7.71942,
4,SIFT,BRISK,123.68,38.6148,
5,SIFT,BRISK,124.176,17.5157,
6,SIFT,BRISK,125.937,8.93672,
7,SIFT,BRISK,126.715,15.2725,
8,SIFT,BRISK,125.857,8.74069,
9,SIFT,BRISK,193.074,11.0324,
10,SIFT,BRISK,128.517,7.67606,
11,SIFT,BRISK,129.92,9.48685,
12,SIFT,BRISK,127.909,8.63454,
13,SIFT,BRISK,135.594,18.3284,
14,SIFT,BRISK,140.477,9.27744,
15,SIFT,BRISK,130.006,8.87377,
16,SIFT,BRISK,133.306,0.100824,
17,SIFT,BRISK,141.721,9.72396,
18,SIFT,BRISK,131.217,9.3333,
1,SIFT,BRIEF,118.294,11.0397,
2,SIFT,BRIEF,111.236,14.3369,
3,SIFT,BRIEF,111.401,17.0739,
4,SIFT,BRIEF,111.576,28.5054,
5,SIFT,BRIEF,111.431,13.2175,
6,SIFT,BRIEF,112.173,9.11605,
7,SIFT,BRIEF,112.902,17.8586,
8,SIFT,BRIEF,112.74,16.3575,
9,SIFT,BRIEF,112.276,11.8627,
10,SIFT,BRIEF,112.921,14.4377,
11,SIFT,BRIEF,113.451,12.8564,
12,SIFT,BRIEF,116.886,9.53927,
13,SIFT,BRIEF,113.717,9.77113,
14,SIFT,BRIEF,113.254,9.21244,
15,SIFT,BRIEF,86.2565,9.07131,
16,SIFT,BRIEF,113.754,7.97077,
17,SIFT,BRIEF,113.425,9.65127,
18,SIFT,BRIEF,87.5292,10.566,
1,SIFT,FREAK,159.804,11.4957,
2,SIFT,FREAK,158.585,10.8226,
3,SIFT,FREAK,160.458,13.8206,
4,SIFT,FREAK,159.232,21.5679,
5,SIFT,FREAK,159.883,13.2949,
6,SIFT,FREAK,159.729,10.928,
7,SIFT,FREAK,160.273,11.8996,
8,SIFT,FREAK,159.905,11.9793,
9,SIFT,FREAK,160.59,12.7266,
10,SIFT,FREAK,160.32,10.7319,
11,SIFT,FREAK,162.223,10.0615,
12,SIFT,FREAK,160.623,8.38392,
13,SIFT,FREAK,161.349,11.2015,
14,SIFT,FREAK,160.374,9.79364,
15,SIFT,FREAK,160.013,9.15358,
16,SIFT,FREAK,161.689,7.74571,
17,SIFT,FREAK,162.194,8.34025,
18,SIFT,FREAK,162.378,7.63782,
1,SIFT,SIFT,233.098,11.9435,
2,SIFT,SIFT,227.919,12.1939,
3,SIFT,SIFT,228.026,13.2244,
4,SIFT,SIFT,228.191,48.5469,
5,SIFT,SIFT,229.918,12.598,
6,SIFT,SIFT,231.056,15.9872,
7,SIFT,SIFT,232.136,12.9988,
8,SIFT,SIFT,231.199,11.6021,
9,SIFT,SIFT,231.329,9.58387,
10,SIFT,SIFT,236.636,7.9109,
11,SIFT,SIFT,233.412,10.021,
12,SIFT,SIFT,233.158,9.59406,
13,SIFT,SIFT,231.423,8.73673,
14,SIFT,SIFT,234.119,9.27744,
